,place,location,point,lat,lon
1171,Chester Town (Kent) MD,,,,
1173,Nain (Lehigh) PA,,,,
1177,Piseataway NJ,,,,
1179,Salisbury (Bucks) PA,,,,
1181,"Einbeek, Hanover, Germany",,,,
1182,"GrossHennersdorf, Upper Lusatia, July",,,,
1183,"Ebenezer, near Savannah, Ga",,,,
1185,Upper Saueon (Lehigh) PA,,,,
1190,"Reading, Aug Aug",,,,
1195,New Rhinebeck (Schoharie CO) NY,,,,
1197,St Michael's Parish MD,,,,
1198,St Michael's Parish (Talbot) MD,,,,
1202,Tolpehil (Lebanon) PA,,,,
1205,University of Herborn,,,,
1208,Steitztown,,,,
1211,"Wonbrugge, Holland",,,,
1215,"Success, Long Island, NY",,,,
1218,"Greenvill, Apr",,,,
1226,Milemantown (Ulster) NY,,,,
1228,Waiden (Orange) NY,,,,
1229,Cohansen NJ,,,,
1230,Lewes Presbyteryar,,,,
1231,Newtown (Bucks) Pa and Plumstead (Bucks) PA,,,,
1235,"Judge, PA Dist Court",,,,
1236,"Judge, PA Supreme Court",,,,
1237,St Paul's Parish (Queen Annes) MD,,,,
1238,NJ as a Presb,,,,
1239,Potomac Church (Northumberland) VA,,,,
1242,"Rye and Sing Sing, NY",,,,
1243,Ordj White Plains (Westchester) NYet,,,,
1250,"Buckingham, Dec",,,,
1251,"Buckingham, Conn, Oct",,,,
1256,Hatfield (Montg) PA,,,,
1260,Thomas Ellis's PA,,,,
1264,Samuel Hooper's PA,,,,
1268,Poughkeepsie (Dutehess) NY,,,,
1269,New Haekensaek (Dutehess) NY,,,,
1270,Fishkill (Dutehess) NY,,,,
1274,"Oester-aeker, Sweden",,,,
1275,Fellingsbr,,,,
1280,Norra Ljusteroe Sweden,,,,
1281,Lower Frederick (Montg) PA,,,,
1284,St Mark's Parish (Craven) SC,,,,
1287,"JACOB DUCHÉ, of Oratory, U of PA",,,,
1288,"Marstadt, Worms, Rhein-Hessen",,,,
1291,Tran Hook PA,,,,
1299,Towamencin (Montg) PA,,,,
1325,"Bethabara, NCuly",,,,
1327,Harlingen (Som) NJ,,,,
1328,"Marbletown, Rochester, Wawarsing",,,,
1329,"President, Rutgers Coll",,,,
1330,Neshanic (Som) NJ,,,,
1331,Hillsborough (Som) NJ,,,,
1332,"Rosendale, all in Ulster Co, NY",,,,
1344,Hagerstow,,,,
1348,Meehanicstown (Frederick) MD,,,,
1349,"Troxel's Chh, MD",,,,
1354,"Fairfield co Conn, , as a physician",,,,
1355,Middletown (Del) PA,,,,
1362,Warwick (Qrange) NY,,,,
1371,"Qrd New Brunswick Presbytery, ept",,,,
1375,Letterkenney (Franklin) PA,,,,
1377,"Campbellton-on-Argyleshire, Scotland",,,,
1378,Conococheague or Falling,,,,
1380,"New Utrecht, Long Island, NY",,,,
1381,"Flatbush, Long Island, NY",,,,
1395,"Brookhaven, Long Island, Setauket",,,,
1399,"Hanover (York) Little Conewago, PA",,,,
1400,"Kinneff, Kincardinshire, Scotland",,,,
1410,"West Jersey and New Castle co Del, ca",,,,
1411,JAMES OREM (or Overn),,,,
1413,Philips' Patent (Dutchess) NY,,,,
1425,"Cowmarsh, Del",,,,
1433,JAMES WILSON (poss,,,,
1439,"Twickenham, Middlesex, England",,,,
1440,"Litit, PA",,,,
1457,Llanfernach (Pembroke) Wales,,,,
1461,"West Greenwich, Connept",,,,
1470,"Sandwieh, MA",,,,
1472,Amenia (Dutehess) NY,,,,
1473,"Manehester, Vt",,,,
1476,"Schainbach, Wertemberg, Germany",,,,
1478,Qrd Conestoga (Lancaster) PA,,,,
1479,"Astaet, Hermberg, Wurtemberg, Germany",,,,
1480,Tulpehoeken PA,,,,
1481,"Lemgo, Lippe-Detmold, Germany",,,,
1483,"Pietistic Community at Wissahickon, PA",,,,
1486,"Norten, Cassel, Germany",,,,
1487,"Marienborn and Crefeld, Germany",,,,
1488,"Overschic, Holland",,,,
1492,"Franklin, and Three Mile Run, all in N J",,,,
1495,Gallatin (Dutchess) NY,,,,
1498,"Deerpark, Smithfield (Monroe) PA",,,,
1499,Shawanee Ghh at Lower Smithfield PA,,,,
